Text ID	English
Text.Inmates.Showers1	Eu gostaria de ser seu amigo...
Text.Inmates.Showers2	Poderíamos ser amigos...
Text.Inmates.Showers3	Passa o sabonete
Text.Inmates.Showers4	Tá olhando o tigrão aqui?
Text.Inmates.Showers5	Tá olhando o que?
Text.Inmates.Showers6	Que merda de água fria!
Text.Inmates.Showers7	Tu tá invadindo meu espaço...
Text.Inmates.Showers8	Sabia que seus interesses iam além de olhar
Text.Inmates.Showers9	Olha pra frente, tapado.
Text.Inmates.Showers10	Xiu...
Text.Inmates.Showers11	Manda o sabonete
Text.Inmates.Showers12	Quem tá com o sabonete?
Text.Inmates.Showers13	Onde que tá o sabonete?
Text.Inmates.Showers14	Estou ensaboando
Text.Inmates.Showers15	Mexa seu rabo daí
Text.Inmates.Showers16	Não se envergonhe
Text.Inmates.Showers17	Sinta-se livre
Text.Inmates.Showers18	Tá muito quente
Text.Inmates.Showers19	Meus olhos!
Text.Inmates.Showers20	Tira o cú da frente
Text.Inmates.Showers21	Tu tá com frio ou o que?
Text.Inmates.Showers22	Me chama depois...
Text.Inmates.Showers23	Tem condicionador aqui?
Text.Inmates.Showers24	Ei guardas, apreciando a vista?
Text.Inmates.Showers25	Foi aqui que espanquei alguns otários
Text.Inmates.Showers26	Eu fiz MUITOS amigos aqui
Text.Inmates.Showers27	Isso é bem romântico
Text.Inmates.Showers28	Tem algo no ar
Text.Inmates.Showers29	Cala boca...
Text.Inmates.Showers30	Tá com algum problema?
Text.Inmates.Showers31	Sério... 
Text.Inmates.Showers32	O ralo tá entupido
Text.Inmates.Showers33	Ah, meu lugar favorito
Text.Inmates.Showers34	Você se acha homem?
Text.Inmates.Showers35	Que bosta!
Text.Inmates.Showers36	É, vou ter muitos pesadelos hoje
Text.Inmates.Showers37	Onde que eu desvejo isso? unseen
Text.Inmates.Showers38	Sua esposa se contentava com isso?
Text.Inmates.Showers39	E esse machucado ae?
Text.Inmates.Showers40	Espera
Text.Inmates.Showers41	Comparado a você, sou um ator pornô bem sucedido
Text.Inmates.Showers42	Eu podia ficar aqui pra sempre...
Text.Inmates.Showers43	Eu ficaria feliz se pudesse ficar em seus braços mesmo que por só um minuto 
Text.Inmates.Showers44	Achei que Echo fosse a marca da bateria
Text.Inmates.Showers45	E se ficarmos *loucos*.? 
Text.Inmates.Showers46	Está chovendo homens, aleluia, está chovendo homens.
Text.Inmates.Showers47	Eu poderia dirigir por esta estrada minha vida inteira. 
Text.Inmates.Showers48	Estou satisfeito em passar um minuto em seus braços!
Text.Inmates.Showers49	Só de olhar para mim já salva o meu dia.
Text.Inmates.Showers50	Você está preocupado por não passarmos tempo suficiente juntos?
	
Text.Guards.Shakedown1	Quem terá a cela revistada é... 
Text.Guards.Shakedown2	Os nomes citados a seguir terão suas celas revistadas... 
Text.Guards.Shakedown3	Os lixos que serão citados agora, terão suas celas revistadas...
Text.Guards.Shakedown4	Os seguintes infelizes terão suas celas revistadas... 
Text.Guards.Shakedown5	Revistaremos as celas dos seguintes imbecis...
	
Text.Guards.RollCallStart1	Em fila, seus bostas!
Text.Guards.RollCallStart2	Calem-se!
Text.Guards.RollCallStart3	Olhem para frente, cambada!
Text.Guards.RollCallStart4	Em fila seus otários!
Text.Guards.RollCallStart5	Calem e olhem para mim!
Text.Guards.RollCallStart6	Atenção!
Text.Guards.RollCallStart7	Olhem para frente!
Text.Guards.RollCallStart8	Fechem essas bocas imundas!
Text.Guards.RollCallStart9	Xiu!
Text.Guards.RollCallStart10	Vâmo começar
Text.Guards.RollCallStart11	Calem a merda da boca!
Text.Guards.RollCallStart12	Olhem-se no espelho...
Text.Guards.RollCallStart13	Sejam rápidos, RÁPIDO.
Text.Guards.RollCallStart14	Mostrem respeito...
Text.Guards.RollCallStart15	Silencio, senhoritas...
Text.Guards.RollCallStart16	Ei!
Text.Guards.RollCallStart17	Fechem suas bocas
Text.Guards.RollCallStart18	Quietos!
Text.Guards.RollCallStart19	Seu rei chegou!
	
Text.Guards.RollCallMain1	Lembrem-se de quem é que manda aqui
Text.Guards.RollCallMain2	Quem manda aqui são os guardas, não vocês.
Text.Guards.RollCallMain3	Não damos a mínima em dar uma surra em cada um de vocês.
Text.Guards.RollCallMain4	Qualquer um que sair da linha será punido severamente.
Text.Guards.RollCallMain5	Cuidado com que fazem, certo?
Text.Guards.RollCallMain6	Cause problemas, e irá ir para a enfermaria o mais rápido possível
Text.Guards.RollCallMain7	Não ousem a olhar para gente, a não ser que mandemos.
Text.Guards.RollCallMain8	Quando eu disser 'pulem', vocês respondem 'o quão alto?'
Text.Guards.RollCallMain9	Aqui as coisas funcionam assim, acostumem-se.
Text.Guards.RollCallMain10	Francamente, estamos cansados de vocês.
Text.Guards.RollCallMain11	Vocês comem quando EU mandar comerem
Text.Guards.RollCallMain12	Vocês dormem quando EU mandar dormirem
Text.Guards.RollCallMain13	Acham que são espertinhos, não é?
Text.Guards.RollCallMain14	Iremos esmagar vocês como insetos, que é o que são.
Text.Guards.RollCallMain15	Fique longe de encrencas
Text.Guards.RollCallMain16	Seja lá quem foi que detonou a cozinha, será detonado.
Text.Guards.RollCallMain17	Não sei quem acabou com a academia, mas será destruído.
Text.Guards.RollCallMain18	O ator que destruiu o galpão, também será destruído.
Text.Guards.RollCallMain19	Essas botas foram feitas para chutar prisioneiros
Text.Guards.RollCallMain20	Não toleramos vocês.
Text.Guards.RollCallMain21	Acha que a prisão é só uma brincadeira?
Text.Guards.RollCallMain22	Vou acabar com esse seu olhar
Text.Guards.RollCallMain23	É só eu estalar os dedos, e tu já era
Text.Guards.RollCallMain24	Vou tirar esse sorriso do seu rosto
Text.Guards.RollCallMain25	Eu sou o juiz e o executor aqui
Text.Guards.RollCallMain26	Minha palavra é o que vale por aqui
Text.Guards.RollCallMain27	Ouvimos rumores de uma fuga
Text.Guards.RollCallMain28	A única coisa que vai fugir daqui, serão os seus cadáveres
Text.Guards.RollCallMain29	Somos muito bem pagos para mantes vocês na linha
Text.Guards.RollCallMain30	Algum idiota andou rondando por ai na hora de dormir
Text.Guards.RollCallMain31	Um de vocês andou roubando ferramentas
Text.Guards.RollCallMain32	Seja lá quem anda enviando ameaças ao diretor, está ferrado
Text.Guards.RollCallMain33	Cause problemas, e te dou passe VIP pra enfermaria
Text.Guards.RollCallMain34	Nem pense em olhar pra mim
Text.Guards.RollCallMain35	A última pessoa que passou dos limites está numa cova.
Text.Guards.RollCallMain36	Deixe me explicar como as coisas funcionam
Text.Guards.RollCallMain37	Pareço idiota?
Text.Guards.RollCallMain38	Levanta a mão se achar que eu pareço um idiota.
Text.Guards.RollCallMain39	Lembra de quando você era importante? Nem eu.
Text.Guards.RollCallMain40	Alguém tá pegando colheres da nossa cantina
Text.Guards.RollCallMain41	Alguém está colocando coisas na cadeira do diretor
Text.Guards.RollCallMain42	Alguém tá sabotando o sombreiro do diretor
Text.Guards.RollCallMain43	Quem aqui discorda das regras e não vai cumpri-las?
Text.Guards.RollCallMain44	tu achas que tem direito a alguma cois?
Text.Guards.RollCallMain45	Vocês são imundos
Text.Guards.RollCallMain46	Deveríamos acabar com você de uma vez
Text.Guards.RollCallMain47	Quantas vezes terei que repetir?
Text.Guards.RollCallMain48	As regras existem para serem seguidas
Text.Guards.RollCallMain49	Alguém anda cortando a cerca
Text.Guards.RollCallMain50	Hoje, alguém irá levar uma surra daquelas
Text.Guards.RollCallMain51	Alguém anda pregando peças com a peruca do diretor
Text.Guards.RollCallMain52	Como minha mãe dizia...
Text.Guards.RollCallMain53	Aproveitando o assunto...
Text.Guards.RollCallMain54	Quando estiver falando contigo, OLHE PRA MIM!
Text.Guards.RollCallMain55	Ouvi um incidente relacionado à nudismo...
Text.Guards.RollCallMain56	Isso me lembra...
Text.Guards.RollCallMain57	Quem aí vai limpar o meu sapato?
Text.Guards.RollCallMain58	Alguém roubou a roupa íntima do diretor
Text.Guards.RollCallMain59	Como eu dizia pra minha ex-esposa traidora...
Text.Guards.RollCallMain60	Eu avisarei quando tiverem permissão pra abrirem o bico
Text.Guards.RollCallMain61	Como meu velho dizia...
Text.Guards.RollCallMain62	Prestem atenção
Text.Guards.RollCallMain63	A comida na cantina será racionada
Text.Guards.RollCallMain64	Você lavou a parte de trás da sua orelha?
Text.Guards.RollCallMain65	Cometa algum erro, e seu almoço será barro.
Text.Guards.RollCallMain66	Nunca se esqueçam, vocês são o lixo da sociedade.
Text.Guards.RollCallMain67	Ninguém é amigo de vocês
Text.Guards.RollCallMain68	A sua família, já te abandonou
Text.Guards.RollCallMain69	Por acaso, eu deixei você respirar?!
Text.Guards.RollCallMain70	Me chamem de rei.
	
Text.Inmates.Gym1	Trabalhando e exercitando
Text.Inmates.Gym2	*huh*
Text.Inmates.Gym3	Preciso de uma bebida
Text.Inmates.Gym4	Dá uma olhada nesse tanquinho
Text.Inmates.Gym5	Observe como eu malho
Text.Inmates.Gym6	Trabalho abdominal é pra poucos
Text.Inmates.Gym7	Vâmo lá
Text.Inmates.Gym8	Quanto tu consegues levantar
Text.Inmates.Gym9	Pode aumentar a pressão
Text.Inmates.Gym10	Estou indo no meu próprio ritmo
Text.Inmates.Gym11	O negócio é conseguir ficar em pé depois
Text.Inmates.Gym12	Mais, mais!
Text.Inmates.Gym13	Vâmo acelera aí cara
Text.Inmates.Gym14	Terminou?
Text.Inmates.Gym15	Olha meus quadríceps
Text.Inmates.Gym16	Isso não é nada
Text.Inmates.Gym17	Chama isso de musculação
Text.Inmates.Gym18	Fácil
Text.Inmates.Gym19	Saquei
Text.Inmates.Gym20	Pega leve
Text.Inmates.Gym21	O início sempre é mais complicado
Text.Inmates.Gym22	Tem que dar duro nisso
Text.Inmates.Gym23	Isso daqui é tudo músculo
Text.Inmates.Gym24	Musculoso e bonitão, esse sou eu.
Text.Inmates.Gym25	Nenhum photoshop consegue fazer isso
Text.Inmates.Gym26	Tá de olho nos meus músculos, né? Realmente, são esplendidos...
Text.Inmates.Gym27	Depois que eu treinar bastante, vou dar umas lições à uns guardas...
Text.Inmates.Gym28	Isso nem cansa
Text.Inmates.Gym29	Só vou parar quando meus músculos estiverem no máximo!
Text.Inmates.Gym30	*roar*
	
Text.Inmates.FoodHall1	Tu chamas isso de comida?
Text.Inmates.FoodHall2	Tem cabelo na minha sopa
Text.Inmates.FoodHall3	Quem tacou isso?
Text.Inmates.FoodHall4	Isso me dá nojo
Text.Inmates.FoodHall5	Melhor tomar conta do meu pudim
Text.Inmates.FoodHall6	Cara, tô cheio
Text.Inmates.FoodHall7	Cozinheiro!
Text.Inmates.FoodHall8	Se eu comer isso, posso morrer.
Text.Inmates.FoodHall9	Tem alguma sobremesa?
Text.Inmates.FoodHall10	Isso tem gosto de barro
Text.Inmates.FoodHall11	Vai comer isso?
Text.Inmates.FoodHall12	Se importa se eu comer isso pra você?
Text.Inmates.FoodHall13	Tô passando mal
Text.Inmates.FoodHall14	Isso daqui tem um cheiro diferente
Text.Inmates.FoodHall15	Isso daqui é velho
Text.Inmates.FoodHall16	Tem um mosquito no meu mingau
Text.Inmates.FoodHall17	Aqui não tem nenhum fogão não?
Text.Inmates.FoodHall18	Já experimentou isso?
Text.Inmates.FoodHall19	Experimente isso
Text.Inmates.FoodHall20	Eugh
Text.Inmates.FoodHall21	Não consigo comer isso
Text.Inmates.FoodHall22	Bom, preciso de energia
Text.Inmates.FoodHall23	GUARDAS! Alguém pegou meu pudim!
Text.Inmates.FoodHall24	Cadê meu pudim?
Text.Inmates.FoodHall25	Ainda tô com fome
Text.Inmates.FoodHall26	Mastigue mais rápido
Text.Inmates.FoodHall27	Isso é algum tipo novo de comida exótica?
Text.Inmates.FoodHall28	Vou precisar de balas de menta depois de comer isso
Text.Inmates.FoodHall29	Imagina, se isso fosse comida de verdade
Text.Inmates.FoodHall30	Não é tão ruim
Text.Inmates.FoodHall31	O gosto não é tão ruim assim...
Text.Inmates.FoodHall32	Tá um pouco queimado
Text.Inmates.FoodHall33	Já comi coisas melhores
Text.Inmates.FoodHall34	Passa o sal
Text.Inmates.FoodHall35	Bem que podiam usar algum tempero né?...
Text.Inmates.FoodHall36	Tá faltando algo...
Text.Inmates.FoodHall37	Tô quase vomitando...
Text.Inmates.FoodHall38	Quem que cuida da cozinha aqui?
Text.Inmates.FoodHall39	O chefe tá precisando de umas férias
Text.Inmates.FoodHall40	Palmas para o chefe
Text.Inmates.FoodHall41	Calma aí
Text.Inmates.FoodHall42	Não fale de boca cheia
Text.Inmates.FoodHall43	Solte o bolo
Text.Inmates.FoodHall44	Passa esse pudim aí
Text.Inmates.FoodHall45	Chama isso de comida?
Text.Inmates.FoodHall46	Tu tá pensando em comer isso tudo?
Text.Inmates.FoodHall47	Cala a boca
Text.Inmates.FoodHall48	Se importa?
Text.Inmates.FoodHall49	Ia ser bom se não quisessem te matar com a comida
Text.Inmates.FoodHall50	Tá uma delícia isso daqui
Text.Inmates.FoodHall51	Tá um pouco passado
Text.Inmates.FoodHall52	Isso me lembra da vez que comi comida de cachorro
Text.Inmates.FoodHall53	Isso deve ser resto de comida da primeira guerra mundial
Text.Inmates.FoodHall54	Sério mesmo, cheira isso
Text.Inmates.FoodHall55	Isso não é cabelo de gente...   
Text.Inmates.FoodHall56	Quem preparou essa comida, merecia ser enterrado vivo!
Text.Inmates.FoodHall57	Minha nota pra está comida? 10!...valendo 100
Text.Inmates.FoodHall58	Não tô legal...
Text.Inmates.FoodHall59	Passa o pudim ou pego tua alma. E o número da sua esposa.
Text.Inmates.FoodHall60	Eu queria ter a receita disso
Text.Inmates.FoodHall61	Chefe!
Text.Inmates.FoodHall62	Tem uma comida nesse meu mosquito!
Text.Inmates.FoodHall63	Isso é comida?
Text.Inmates.FoodHall64	CÓDIGO VERMELHO!
Text.Inmates.FoodHall65	O refeitório tá cheio
Text.Inmates.FoodHall66	Vou comer só três pudins... sabe como é, dieta.
	
Text.Inmates.Banter1	Esse lugar é um lixo
Text.Inmates.Banter2	Que bosta de lugar
Text.Inmates.Banter3	Aqui, todo mundo é inocente
Text.Inmates.Banter4	Você é inocente? Eu também!
Text.Inmates.Banter5	Todos nós somos inocentes.
Text.Inmates.Banter6	Os guardas são os piores daqui!
Text.Inmates.Banter7	Não confie em ninguém
Text.Inmates.Banter8	Ninguém é confiável
Text.Inmates.Banter9	Alguém deixou uma surpresinha no meu vaso 
Text.Inmates.Banter10	Alguém cagou na minha cama, que bosta. Literalmente.
Text.Inmates.Banter11	Logo eu vou pra condicional, melhor dar um jeito de largas as drogas
Text.Inmates.Banter12	Negaram meu pedido de ir pra condicional
Text.Inmates.Banter13	Tenho que socar alguém
Text.Inmates.Banter14	Vou procurar alguém mais fraco e dar uma surra
Text.Inmates.Banter15	Não olhe agora, mas acho que os parafusos estão nos vigiando para alguém...
Text.Inmates.Banter16	Acho que estou sendo vigiado
Text.Inmates.Banter17	É só eu ou tá quente aqui?
Text.Inmates.Banter18	Tá bem frio, não acha?
Text.Inmates.Banter19	Tá frio demais aqui, concorda?
Text.Inmates.Banter20	Esse lugar é congelante
Text.Inmates.Banter21	Tá fervendo aqui!
